TagCode,GroupCode,ServerCode,TagName,DataType,DataSize,DataCount,Address,ClassName,DisplayOrder,Archive,Cycle,AutoSync,Active,ReadOnly,Remark,CreateTime,UpdateTime,RowVersion,
ProductNameFeedback181,ProductInfoSummary,WCSServer,产品名称反馈181,11,28,1,DB804.STRING5040,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,13A634D176F74B94BFD05372F18C4DE2,
ProductNameFeedback182,ProductInfoSummary,WCSServer,产品名称反馈182,11,28,1,DB804.STRING5068,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,FD676622D8554807B6FA61B8EB01CE89,
ProductNameFeedback183,ProductInfoSummary,WCSServer,产品名称反馈183,11,28,1,DB804.STRING5096,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,96ED3FF955384CB3A429B3755D7E67F4,
ProductNameFeedback184,ProductInfoSummary,WCSServer,产品名称反馈184,11,28,1,DB804.STRING5124,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,3DD0C685334B4C9F97F945E07CBAF26D,
ProductNameFeedback164,ProductInfoSummary,WCSServer,产品名称反馈164,11,28,1,DB804.STRING4564,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,01AD22B15D6F4BA0B1B742C562ADE2CD,
StorageInfoFeedback02,LocationInfo,WCSServer,库存信息反馈02,11,40,1,DB802.STRING80,货位托盘信息,1,1,1,0,1,0,,08-11月-20,08-11月-20,67CA45545DA0664EB6B867E0D0CF3AA2,
ProductNameFeedback185,ProductInfoSummary,WCSServer,产品名称反馈185,11,28,1,DB804.STRING5152,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,BAFCCA4905DE4549B243698C6ABB586C,
ProductNameFeedback186,ProductInfoSummary,WCSServer,产品名称反馈186,11,28,1,DB804.STRING5180,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,DC4FB8157A344E89A9B8E89C156736D1,
AGV04Status,AGV,WCSServer,4#AGV小车状态,1,1,10,DB600.DBX15.0,AGV状态,1,1,1,0,1,0,,17-8月 -20,17-8月 -20,BB0153ED1CDD8E49BA9072275E96C0FE,
AGV03Status,AGV,WCSServer,3#AGV小车状态,1,1,10,DB600.DBX10.0,AGV状态,1,1,1,0,1,0,,17-8月 -20,17-8月 -20,D5CBF40164646C4483918ABA09556F63,
